Stock,Trendlyne Valuation Score,Trendlyne Durability Score,Trendlyne Momentum Score,Current Price Rs,MCAP Cr,Latest Financial Result,PE Trailing 12M,My Notes
Poddar Pigments Ltd.,54.50000,70.00000,70.03000,267.05,283.3400500,2021-03-31,11.97670048516736883932071187,
Rajoo Engineers Ltd.,54.33333,80.00000,76.14000,30.30,186.4383240,2021-03-31,17.91817956026540194675403011,
Ishan Dyes & Chemica..,54.33333,80.00000,67.67000,63.90,102.0361590,2021-03-31,7.966716827476321147207223157,
R&B Denims Ltd.,54.33333,75.00000,70.51000,72.55,101.5315485,2021-03-31,12.19602397850944582477398271,
BDH Industries Ltd.,54.00000,80.00000,69.66000,120.25,69.2315325,2021-03-31,10.88649079288055188397399917,
Menon Pistons Ltd.,54.00000,75.00000,66.46000,28.75,146.6250000,2021-03-31,16.40925539079711882013173065,
Sagar Cements Ltd.,54.00000,80.00000,73.76000,1121.40,2635.2900000,2021-03-31,14.16670193393041337233576877,
Hitech Corporation L..,53.83333,85.00000,68.57000,235.50,404.4877350,2021-03-31,23.85133780178778689969069221,
KG Petrochem Ltd.,53.83333,60.00000,69.05000,302.65,176.0000545,2021-03-31,11.23703554638391342154644480,
Kothari Petrochemica..,53.83333,65.00000,68.62000,39.95,235.0913680,2021-03-31,10.63025858536403646484697217,
Apar Industries Ltd.,53.66667,75.00000,71.72000,538.10,2059.2333660,2021-03-31,12.83058242403346204450955510,
Munjal Auto Industri..,53.66667,70.00000,60.40000,67.35,673.5000000,2021-03-31,32.65042952161182105528515193,
Faze Three Ltd.,53.66667,85.00000,77.96000,129.90,315.9038100,2021-03-31,12.66707817605775953614505413,
Ponni Sugars (Erode)..,53.50000,75.00000,78.93000,368.90,317.1949760,2021-03-31,12.36375653085526428241782660,
Power Grid Corporati..,53.50000,75.00000,60.06000,227.95,119254.0849320,2021-03-31,9.907737858511679134464888707,
Monte Carlo Fashions..,53.33333,70.00000,60.05000,323.65,670.9944165,2021-03-31,10.12125175163483311739870227,
Lehar Footwears Ltd.,53.33333,65.00000,74.37000,39.05,53.4157140,2021-03-31,54.70643448536725459155797761,
Rajesh Exports Ltd.,53.33333,65.00000,61.80000,572.35,16899.2061000,2020-12-31,20.49785047438547634089284461,
IFGL Refractories Ltd.,53.33333,80.00000,68.36000,385.70,1390.0358010,2021-03-31,21.19644216316918959467368635,
Vedavaag Systems Ltd.,53.16667,65.00000,61.29000,41.05,94.1071250,2021-03-31,13.44042014000301222570738192,
